name_of_drug,use_case_for_drug,review_by_patient
Thyroid desiccated,Hashimoto's disease,"""Ditto all the positives written by other reviewers.  

I don&#039;t understand why it was nearly impossible to get the clinic to prescribe....  I was so miserable on synthroid which I struggled with for 8 mo...with worries of health issues growing.  I quit. And for the next six years at every doctor appt. I flat out refused synthroid.  I think one of the 20 plus fillers was the issue.   Doing my own research I begin requesting Nature Thyroid.  Was told the clinic  only prescribed synthroid. 16 months ago I won!  And have been happy since on NT.  UNBELIEVABLE then when I moved and my new doc in different state suggested I change.  No way.  I&#039;m very happy with Nature Thyroid and think  the medical profession is 75 years behind the times."""
Eszopiclone,Insomnia,"""I finally decided that I&#039;d suffered with insomnia for long enough and my doctor prescribed 5mg of generic zopiclone.  I get the metallic taste shortly after taking it but I&#039;ve learned to keep a small glass of OJ beside the bed. This medication has been my saving grace! I almost get excited when the metallic taste comes now because I know I&#039;ll be sleeping shortly thereafter! If you&#039;ve suffered from insomnia like I have, a little metallic taste in your mouth is a SMALL PRICE TO PAY!  I highly recommend zopiclone for insomnia!"""
Hydromorphone,Pain,"""I read a lot of comments on hydromorphone and thought it would help me greatly with my chronic back pain. So I was shocked when I got the 2mg script and got no relief in pain whatsoever even after taking 6mg. """
Desvenlafaxine,Depression,"""At 47 and pre-menopausal. In addition to having a lung cancer scare (being monitored and if anything were to come out of it, it&#039;s early days). In addition to it a suspicious mammogram and an upcoming colonoscopy (my second) monitoring due to my father passing on from this disease as it was not diagnosed early enough. I was crying for no reason and had no interest in anything.  On Pristiq 2 days now and I feel &quot;different&quot;.  My mood is lighter and I&#039;m not going off on angry tangents for no good reason.  I&#039;m glad it&#039;s not supposed to put on weight - I&#039;m 140 lbs at 5 feet 7 and as I just quit smoking, I will be putting on a few pounds from that.  So far, it&#039;s pretty good."""
Isotretinoin,Acne,"""At the age of 25, I had severe hormonal acne appearing under my chin and on my jawline, deep black heads, scarring, super oil face and hair before taking Accutane. This medication is totally worth it! I&#039;ve tried so many OTC medications, prescribed so many creams and oral pills, chemical peels, dieting, Proactive, etc. Nothing worked! I used to have horrible skin in high school as well and it cleared up for a few years then the acne came back. I went to my dermatologist and she recommend Accutane for 5 months. The first two months I had the initial break out and it sucked but I knew it would get worse before it got better.  My face was pretty clear by the third month. By the fourth month I only had little scars and now I&#039;m acne free!"""
Singulair,Allergic Rhinitis,"""Started to get post nasal drip horribly over four months ago. tried every otc drug know for allergies, remove bedroom carpet, bought high end humidifier, air purifier, netti potted and drank four liters of water a day. Nothing helped and i would wake up every hour and a half coughing from mucus build up. This medication stopped my symptoms within 2 days.
Its very expensive but worth every penny."""
Depo-Provera,Birth Control,"""I opted the depo shot when I was 16. I was horrible at remembering to take medicine on time so I chose the shot. This is my experience. I can only speak for me.
I got the shot in May 2006. Stayed on track of the shot due to the reminder I had a Dr&#039;s appointment on such and such day. I had light, 3 day periods. Never a day longer, never a day shorter. I had no weight gain. I had no cramps. I had no breakouts. I did not experience any dizziness, shortness of breath, or headaches. I didn&#039;t lose my appetite. I had no troubles.
Then, like a genius, when I turned 18 I chose to get off the shot which was due in February. By April I had a positive pregnancy test.
Wasn&#039;t hard for my body to change from even after almost 2 years."""
Bactrim DS,Urinary Tract Infection,"""No health insurance. Went to the ER for UTI and was prescribed Bactrim. UTI symptoms quickly subsided (didn&#039;t disappear completely but like 90% better) so that was nice. Then the Bactrim symptoms started. Oh man. I had a different set of symptoms every day. First it was tingly hands and severe fatigue. Then I had a full blown panic attack (depression and anxiety can be made worse by Bactrim apparently so I tried to keep reminding myself of that). Last couple of days I&#039;ve had headaches and bad nausea. I&#039;m on day 6 of my 7 day course now-- gonna try my best to make it through the whole course but wowww it&#039;s tough. I just hope these symptoms clear up once my pills are gone. It got its job done but made me miserable in the process!"""
Levonorgestrel,Emergency Contraception,"""It all started when this guy I had sex with did it inside me, however I hadn&#039;t taken my birth control in about a year and it was on my most fertile days. (Miscommunication there) I was reading all of these reviews to help me calm down, which did help a little. Took the pill on the second day and three weeks later got my period on time! So thankful for this pill."""
Bupropion,Depression,"""Was taking 20mg of Prozac which worked pretty good. Have taken Adderall in the past for ADD and asked my doctor about it again. He suggested I take Wellbutrin. Been on it for 2 weeks and I really noticed a difference. I actually feel great! 300mg XL. Side effects are minimal. I did feel like a zombie the first and second day. The third day I had the giggles. But, things started to even out after that. It wasn&#039;t anything terrible. It is a little bit harder to go to sleep at night however, I&#039;ve never been a good sleeper. And, dry mouth is kind of bad. Other than that no anxiety depression. Haven&#039;t noticed anything about my ADD yet. I&#039;ll give it a couple more weeks."""
Mesalamine,Ulcerative Colitis,"""I have taken Lialda for a month and my symptoms have stopped. I have side effects of leg cramps. My Dr did not know about this site effect. Makes me wonder about him."""
Acetaminophen / hydrocodone,Pain,"""My physician prescribed Norco 35-325 after I complained of severe abdominal pain and pain in my kidneys. I started taking one tablet every 4-6 hours (sometimes less than 4 hours apart) and it didn&#039;t seem to help with the pain, it would help me sleep sometimes. I started taking two tablets, and it seems to make a noticeable difference. It doesn&#039;t take as long to start working as if I were to just take one. It lasts a while longer too. I&#039;ve tried others and it works just as well but only when I take two."""
Clomiphene,emale Infertility,"""Am new to taking this drug...am very nervous about it and keep staring at the packet..
My husband and I had been trying for 4yrs to get pregnant and nothing g seemed to work. We have a 8 and 5 yr old already all done the natural way..
So we were stuck to why we couldn&#039;t this time round so off we go to the docs and they give me clomid to try.  Before we started I got pregnant Dec 2013 which was amazing feeling. In may 2014 my baby girl came into the world at 26wks and passed away two days later.. 
My periods have been all over the place since so have been given tablets again.
I think I&#039;m ready and my brain is saying it&#039;s now or never...by reading all ur stories it works....
If anything were to happen I couldn&#039;t cope again...
We so want a baby."""
Clarithromycin,Bronchitis,"""I will never even look at those pills again. Took in the morning, and by the evening every side effect hit me like a sledgehammer. Got a couple hours of sleep last night when I wasn&#039;t living in my bathroom and after experiencing the most disturbing dreams in my life I would rather have stayed awake. Who invented something so diabolical???"""
Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,"""My CD4 was at 3 and I almost died from the AIDS diarrhea and my muscles were tearing from everyday use. After six weeks of Stribild, CD4 was in the 500s range already.  In a couple weeks I will be well enough to go back to work a little short of 3 months of medical leave. Started Stribild on March 18th."""
Phillips' Milk of Magnesia,Constipation,"""I remember this product when I was a kid. My mom used to keep a bottle of it in the house all of the time, that was decades ago. I have used the pill form for the first time and it still works quite well. I find the pill form a little more tolerable then drinking the liquid form. But, what I like about it most is that it doesn&#039;t cause the cramps. For anyone reading, the best time to take any laxative is at night before going to bed. Also take a full 8oz glass of liquid (water preferably) when taking any pill form laxative. Water helps with constipation to begin with. The directions call for 2 to 4 pills, I took 3."""
ParaGard,Birth Control,"""I&#039;ve had the Paragard for about a month. I&#039;ve had no problem with it. I had a C Section 11 weeks prior insertion. Insertion didn&#039;t hurt other than cramping while they were measuring how far to put my IUD. I had light cramping for about two days and spotting and bleeding for about 5 days which is expected. After that everything was great. Checked the strings everything in place. No problems. Now before I got pregnant I already had heavy periods and paragard does not help with that at all. I can&#039;t take hormonal BC due to a blood clotting mutation. When I got my first period after insertion flow was heavy which is normal for me. Cramping on the other hand was more than expected. Nothing I couldn&#039;t handle though. I give 9 out of 10."""
Gabapentin,Peripheral Neuropathy,"""Has helped my quality of life incredibly."""
Fluoxetine,Panic Disorde,"""Cured my panic disorder, which was huge. Also levelled me off emotionally. But...sexual disfunction is definitely an issue. I also seem to have a lack of empathy for others that I don&#039;t like. Overall, though, I&#039;ve been helped by this med."""
Bactrim,Prostatitis,"""Did not work"""
Losartan,High Blood Pressure,"""Very good for me, the only complaint I have is that it&#039;s expensive and a premium co-pay on my Insurance. """
Epiduo,Acne,"""I&#039;ve got mixed feelings about this product, I had blackheads on my nose and checks and also around the eyebrows so I used epidulo gel around my face. First couple of days no difference. I&#039;ve stopped using it when I put sun screen, moisturiser, makeup or other acne gels on I got a really bad stinging. My face was as bright as a tomato (I haven&#039;t been in the sun). My face was peeling! I now have to have a face washer on my face to cool it down but I noticed that all my blackheads are gone and there&#039;s no sign of pimples. My paws are really clear with no signs of pimples but I still have the &#039;sun&#039; burn."""
Etonogestrel,Birth Control,"""I had my Nexplanon inserted May 29, 2013 I was on the pill and it was my pill free week. So my cycle was supposed to start soon. As I had Nexplanon inserted my cycle started. It lasted for 10 days, moderate flow, flow for 4 days then light the last 6. I didn&#039;t feel anything but a little burning from the numbing shot. My arm now has a scar but when I first got it the bruising was kind of bad but it still gets better with the days. I love Nexplanon."""
Escitalopram,Depression,"""I was on Zoloft for 8 years and the side effects became unbearable and it wasn&#039;t working for me anymore.  My doctor switched me to Lexapro.  Its hard to say whether my side effects initially were caused by the withdrawal from the Zoloft or the Lexapro.  After a few days I felt like myself again.  I didn&#039;t have trouble sleeping, but I gained 10 lbs every 6 months.  I have had a lot of stress in my life and the Lexapro wasn&#039;t enough for me and had to take Xanax on occasions.  Lexapro does not treat PMS mood swings so I usually took the Xanax around my period.  It helped, but the weight gain was depressing and no matter what I did I was hungry all the time and couldn&#039;t lose the weight.  """
Enbrel,Psoriatic Arthritis,"""In less than a few weeks I had noticeable changes in swelling and use of my hands . I used it for over 5 years before it&#039;s effectiveness began to wane. Nothing since has worked that well."""
Sumatriptan,Cluster Headaches,"""Fast relief after injecting. Haven&#039;t had many other treatments. I use for cluster headaches."""
Dolutegravir,HIV Infection,"""Switched to this medication after Raltegravir due to adherence issues and couldn&#039;t have asked for better! No side effects (same as raltegravir), only have to take it once a day with my Truvada which makes my life a lot more manageable. My counts are still stable; VL 40 CD4 1430 and CD4% 47. In a nutshell if you&#039;re struggling with adherence but Stribild isn&#039;t an option then I reccomend this to anyone."""
Amoxicillin / clavulanate,Sinusitis,"""I get so sick from taking this, I can&#039;t even work. Nausea, stomach pain, dizziness, headache, tired ...I&#039;m going back to the doctor to switch medication just after taking them for 3 days, I can&#039;t do it no more"""
Oxymorphone,Pain,"""Insurance required me to use Opana ER crush-resistant version!  Takes about 2 hrs. to take effect so I take hydrocodone/acetaminophen 10/325 with 1 Opana upon waking and together they last about 8 hours NEVER 12 hours!  then take 1 hydrocodone/acetaminophen about 4 pm then another hydrocodone/acetaminophen about 9 pm then 1 Opana at 11 pm.  I tried using Opana alone but couldn&#039;t stand waiting IN PAIN for 2 hours before I could feel any relief!  Regular Oxycontin DID provide 12 hour relief without needing any vicodin for &quot;breakthrough pain&quot; but even with insurance it would cost $100/month.  Pain level with Opana AND vicodin still at about 5 but chronic pain after FIVE hip replacement surgeries - 2 on left hip, 3 on right, since 2008!!"""
Wellbutrin,Depression,"""I&#039;ve been taking this medication for over 6 months and it has been a good fit for me. At first I had a little trouble sleeping but other than this it has been easy. I am taking the SR type so I have to take it 2x per day which can be a pain. I have not had a depressive episode since starting on Wellbutrin."""
Etonogestrel,Birth Control,"""I have had the Nexplanon for 7 months now, it has been the most effective birth control I have used, compared to the IUD and birth control pills. I have 4 kids due to the the failures of other birth control methods, they were used 100% as directed by medical doctors. 3 months after getting the Nexplanon I stopped all periods, but still had all the cramps and side effects of a period. Not the best feelings."""
Zaleplon,Insomnia,"""I love this medicine. I do wake up about 3 am but am not fining I can&#039;t fall back to sleep. I wake up feeling rested and not groggy at all. It has changed my life!"""
Valsartan,High Blood Pressure,"""I&#039;ve been on Diovan,  and labetalol.  2 wks ago my bp bottomed out.  Hospital took me off labetalol,  and cut my Diovan to 160mg. Stayed 190&#039;s over 120&#039;s to 130&#039;s. I put myself back to 320mg. It is now starting to come down."""
Topiramate,Migraine Prevention,"""My doctor put me on Topamax for my migraine headaches, I was on that medication for about 3 weeks, took 2-25 mg a day.  During that time I had one huge migraine and 6 headaches. I felt very tired and couldn&#039;t speak clearly and couldn&#039;t finish a sentence. I would NOT recommend this medicine to anyone. IT WAS A BAD EXPERIENCE."""
Valacyclovir,"Herpes Simplex, Suppression","""This is my first outbreak. I&#039;ve been on it for 2 days now and I have no relief. The blisters down in my vagina are awful. I scared go drink anything, because I&#039;m scared to go to the bathroom.. I hope I get some relief soon. When outbreak is gone I hope to do supressive treatment."""
Terbinafine,"Onychomycosis, Fingernail","""i had my fungus infection for about 5 years, too long. i finally decided to go to the doctors and get something to get rid of the nasty stuff (i had it on almost and my nail both feet and hands) the doctor told me it was gonna take about 6 months to have nice healthy nails. so to make it short, i notice my healthy nails growing out in 3 weeks. PLEASE dont spend your money on over the counter stuff lotions, soaps, etc. take the pill in works very very well. its been about 4 years now and have been fungus free."""
Azithromycin,Chlamydia Infection,"""Learnt that I had chlamydia, went to the doctor and he gave me 2000mg of this medication. A little bit or nausea followed by a half day of diarrhea. I&#039;ve had it before with the same symptoms, everything cleared up in a few days"""
Loestrin 24 Fe,Abnormal Uterine Bleeding,"""At first I was afraid to take this pill because of it&#039;s side effects, and it was my first time. In order to regulate my long lasting periods, I&#039;d taken Loestrin. I&#039;ve been on the pill for a little over a week. And it has stopped my period, but I did get an yeast infection. I&#039;m a tad bit more emotional than usual, but aren&#039;t all women that way? Overall, I like it so far."""
Ropinirole,Restless Legs Syndrome,"""I have been taking Requip XL for a few years now.  It worked great at first, but now I get rebound restless legs syndrome almost every afternoon.  I also find that if I&#039;m late taking it, or if I take it after the rebound RLS starts, that it takes hours before it helps.  I usually end up taking Percocet to stop the painful twitching.  It&#039;s better than taking nothing at all, but I would love to go 24 hours without the pain!"""
Paroxetine,Anxiety,"""This medication has been extremely helpful to me. 7 months ago, I developed IBS, which made me very nervous about my stomach. I slowly became nervous about everything, not knowing that my anxiety was more than just &quot; little worries.&quot; I was afraid to go to important events, thinking something bad could suddenly happen to me all the time. My mother was noticing these changes in my personality, so then made me go to a therapist. That was when I was suggested to be put on Paxil. I was afraid to take Paxil, but when I was finally forced to, I noticed changes within a week with just 5mg. I moved up to 10mg, and everyone could see changes in how I acted everywhere. I am currently still on 10mg, but even a little can do a lot, even for you!"""
Copaxone,Multiple Sclerosis,"""Diagnosed in &#039;08, been on Copaxone since then. Took me about six months to realize my injection site problems were caused by the auto-injection contraception. I found it not precise enough, needle can go at an odd angle, or too deep and into muscle (those were the worst). Learned to self inject. I go in at a 45 degree angle and inject slowly. Haven&#039;t had any injection site problems since. Knick a muscle once in a while, but that&#039;s it. It&#039;s a different experience for everyone, as you all know. 
Cut out the salt, take cold showers, and avoid the heat. Haven&#039;t tried vitamin D supplements, but sounds like a good idea. 
Last MRI showed no significant changes (good thing, I&#039;m told.)"""
Zarah,Birth Control,"""I&#039;ve been on this pill for over a year now and so far so good. When I first started it I was pretty moody and had some acne but after the first few months my skin was always clear and there was waay less moodiness. (Still some but I think that&#039;s just how I am lol) This was the first birth control I took and I took it ever since!"""
Prozac,Bulimia,"""I&#039;ve been on Prozac for 3 months now and I love it. Things aren&#039;t so negative anymore. """
Lisdexamfetamine,ADHD,"""At first I was a bit skeptical. This is my first time using any pill for ADHD. It took at least 2 hours to kick in, but when it did, I worked on 3 assignments non stop for 8 hours and my brain is still clicking. This really helped me!"""
Linaclotide,Irritable Bowel Syndrome,"""I tried the 145 mcg sample my Dr. gave me.  Took it two days in a row at 8 a.m. and had a bowel motion at 10 a.m. both days. I skipped a day to experiment, and no bowel motion.  Tried it again at 8 a.m. and sure enough, a 10 a.m. clean-out.  I have no side effects, no diarrhea or pain, just a normal bowel motion, which feels GREAT for a change!  Since there&#039;s a 2-hour &quot;wait&quot;, I&#039;ll have to make adjustments if I need to leave the house.  But so far it&#039;s the most dependable product I&#039;ve used."""
Tamsulosin,Benign Prostatic Hyperplasia,"""Didn&#039;t work for me &amp; bad side effects after cyberknife. No libido and painful or no ejaculation at all. Stopped &amp; was ok. 16 months later developed a UTI BPH &amp; bladder issues.Urgent Urination day &amp; night started coming back  about 8 weeks ago and Dr put me on Cialis 5 mg samples daily (insurance would not cover) for BPH &amp; 500 mg of Cypro for UTI was ok then 1 week ago conditions worsened after running out of cialis for just a few days &amp; started remaining Flomax again  for 4 -5 days and went down hill really fast.  I am now urinating 20 + times if not more.I Cant leave house literally. Can hit in 3 seconds My urine culture just came back negative and on 500 mg of cefuroxime. Started back on Cialis yesterday  Brutal waiting for Doc to call"""
Imitrex,Migraine,"""This medication for the price worked the best. I was using this along with Topamax as a daily preventative and also started receiving botox injections.  I found that after a few months between the botox, the Topamax and the Imitrex, I was able to use less and less each month."""
Gabapentin,Anxiety,"""Very good medicine. Taking 200 to 300mg daily for anxiety, racing thoughts, poor sleep etc.  Have been on lamotrigine and risperidone for supposed BPD for years. Everything they can&#039;t get rid of, gabapentin does.  Never realized there was still so much room for improvement!  One other thing.  For me, MSG or any free glutamate sets off severe anxiety and migraines.  Some of you may have similar problem, so think about your diet too.  
For me gabapentin provides fast relief from a &#039;meal mistake&#039;.  Benzodiazepines worked pretty well for me, but now that I have this, bye bye. I used to use alcohol more than I should, but now don&#039;t feel the need too."""
Dulcolax,Constipation,"""I beg of everyone to think twice before taking this pill. I am 20 years old and took one of these a couple years ago after being constipated for a week, and remember laying on my stomach holding onto my bed for dear life with all four limbs- swearing I would never take one again. I proceeded to go to the bathroom for hours- in pain unlike anything else is experienced. This month, I was on vacation and had barely gone to the bathroom for 24 days!! So I decided I&#039;d try this before going to the doctor! I woke up last night with such bad stomach cramps almost not making it to the toilet before throwing up and pooping myslef at once!!! Puking black stuff up- which I am still very confused about!! I have not moved from bed all day, sick as a dog!"""
Medroxyprogesterone,Birth Control,"""I have just hit the 2 year mark of being on the shot. Which they recommended to stop at this point. I am unsure what birth control to choose next. I have endometriosis and the shot has helped soo much by stopping my periods but it has also caused almost all side effects it can cause. Weight gain, drowsiness, headaches, fatigue, awful acne, swelling in my legs and ankles for over a year, you name it I&#039;ve experienced the side effect.. I do recommend it for endo patients with severe pain and bleeding but those who don&#039;t have endo I wouldn&#039;t not recommend it as the side effects would not be worth it."""
Lexapro,Depression,"""I&#039;ve been on lexapro for several years. I have to say for some the initial side effects can be overwhelming, but stick with it because it will help most of us. You can train yourself to overcome the sexual side effects, and weight gain can be controlled through proper exercise and diet. I&#039;m not an active person, but have to remind myself to hit the gym several times a week. Doing so will greatly and positively affect your mood as well, so just pretend like you have no choice and GO. Also please remember there is no &quot;magic pill&quot; we have to take responsibility for our own happiness, which includes lots more than just taking antidepressants! Hope this helps some!"""
Altoprev,"High Cholesterol, Familial Heterozygous","""Altoprev is the ONLY statin drug I can tolerate. It is due to the timed-release of the drug over 24 hours. I do not recieve that whopping dose of the drug all at once. However, my ins. Rx. coverage wil not cover it. I do not get to take it regularly, due to fixed income. It is 160.00 a month. But this is the drug for me and I get it filled about every other month.
"""
Methylphenidate,ADHD,"""Took it from 7-12 years old. When stopped, grades went down and gained weight. Taking it now again at 21. My gosh. First day back on it and wow."""
Norco,Back Pain,"""I have extensive long-term back damage I will suffer from for the rest of my life. I have been prescribed Norco now for over 2 years and takes my pain level from a 10 to a 7. My body has not yet become immune to the benefits Norco, it offers to relieve my pain even after 2 years. This medicine, combined with aqua therapy, and psychological therapy has made a HUGE improvement to my life."""
Abilify,Schizoaffective Disorde,"""Abilify keeps me very well, and has improved my life, after spending 13 years sedated, this was a relief! Only side effect I get; bladder weakness."""
Lo Loestrin Fe,Birth Control,"""I was worried about starting birth control. I wanted something with little to no side effects and something that wouldn&#039;t be a big risk to the bits of cervical cancer I have. So I talked to my doctor and he put me on Lo Loestrin Fe and I love it. It&#039;s amazing. I have very little side effects, like when on the blue pills in the pack, I have a little bit of acne but when my period comes at the end of the pack the acne goes away. I also have a little bit of bloating in the belly but no big weight gain and sometimes I get a bad headache an hour after taking it. I also have trouble sleeping and sometimes my arm goes numb but I don&#039;t have bad side effects. These are nothing, I love this pill. I have no random spotting or bleeding and it does not make me sick."""
Suprep Bowel Prep Kit,Bowel Preparation,"""First time colonoscopy. This prep was a walk in the park easy. No cramping, no nausea, no headaches--really none of the stuff people I have read complain about. The effect from both doses took about 30 minutes, and the resulting bathroom trips about 2 hours each time."""
Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,HIV Infection,"""Diagnosed with HIV1 5 weeks ago. 190000 Viral Load and only 280 CD4
Was given Genvoya almost immediately. A little dizzy on day one, otherwise have not felt anything from taking medicine and lived as I always did. Try and eat healthy and exercise though. 
One month later down to 53 Viral Load and CD4 up to 540. I am thrilled! 
Hope this will stay like this. Will definitely happily keep taking this pill."""
Alprazolam,Anxiety,"""I am a teenager who has anxiety/panic attacks occasionally, and my physcisian has been giving me 0.5mg of Xanax for the past couple months to take as needed for anxiety. I can&#039;t tell you how wonderful this medication has been. After 15-20 min of taking it my anxiety/panic feelings diminish completely, and I have no need to feel anxious about anything after that. """
Escitalopram,Generalized Anxiety Disorde,"""Initially, I was put on Lexapro and Klonopin (.5 mg 4 times a day) for panic disorder. After a few months, I was able to take the Klonopin as needed, usually once a day, and experienced very few symptoms of panic. After a year, I was feeling a lot better and decided to come off of it. The Lexapro really did help so much with my panic attacks, but I still had generalized anxiety. After a lot of therapy and lifestyle changes, my GAD was very well-managed and I was able to come off of Lexapro. 2 months down the road, I had a huge relapse due to a medical crisis and my doctor put me back on Lexapro. It pooped out and I was experiencing severe anxiety. I was on this medication 3 times for a total of 5 years."""
Effexor XR,Depression,"""Initially I had a decrease in my depression but after a year or so it seemed to do nothing however I had a lot of outside factors that could have caused that.
I didn&#039;t realize until after I got off how much it made me sweat. Sometimes to the level of embarrassment. I also had severe dry mouth and constantly had to drink huge amounts of water. Gained a lot of weight. AS soon as I got off it I started losing weight, was never thirsty and stopped sweating. I think compared to the side affects it wasn&#039;t worth it to me."""
Mirena,Birth Control,"""I had the Mirena put in almost a year ago. Insertion was a breeze next to no cramping. My periods have remained heavy and do not show signs of stopping. Have gained about 30 pounds have acne and headaches and backache, so now I am wondering what is next. My doctor would not take it out and wanted me to remain on it for a year. It is almost a year so I am finding a new doctor and getting it taken out."""
Trazodone,Insomnia,"""I have a lot of health problems (Physical, not mental).  Trying to sleep some nights is an absolute nightmare.  I&#039;ve taken Ambien, would sleep an hour or two and then wake.  I&#039;ve done the other stronger Benzodiazepines (Temazepam).  If you take those more than 3 or 4 nights in a row your body is addicted and you need them to sleep and your body won&#039;t let you take a nap because it wants another pill.  After I weened myself off those I had a friend who told me about Trazodone.  I asked my doctor and he said sure.  This is the best sleep I have ever had and I never wake up groggy. IT IS THE BEST!"""
NuvaRing,Birth Control,"""I started using the NR about 4 months ago. The first month of use brought me the worst deep pimples I have ever had, not just on my face, but also on my breast. It sucked, but my vagina finally had good levels of estrogen.  Aside from the pimples and dizziness, I was feeling better for longer. Sex didn&#039;t hurt and NR didn&#039;t have any effect on sex. Now my skin is even, and I no longer get migraines. Periods are short, easy and light. Win Win!"""
Levonorgestrel,Birth Control,"""The first 2 months were wonderful, my periods were lighter and I loved not having to remember to take a pill everyday. The 3rd month hit and everything went downhill. They say the adjustment period is usually 3 months and after that you shouldn&#039;t get any symptoms. A week and a half before my 3rd cycle was to begin I woke up feeling nauseous and had vertigo. At first I didn&#039;t think anything of it because my body is quite sensitive as it is, but then it happened the next morning and the next and now I&#039;m into my fourth month, I&#039;ve missed 2 weeks of work, I can no longer consume solid food and my bowel movements are extremely abnormal. I finally secured an appointment and will be removing it in 2 days. If you&#039;re sensitive to hormones, beware!"""
Levofloxacin,Pneumonia,"""Seems to be the only antibiotic that will work for me."""
Doxycycline,Pelvic Inflammatory Disease,"""I am Taking this medication for suspected mild pelvic inflammatory disease due to several bv cases as a precaution. I am talking 100mg twice a day for two weeks. Please note it was suspected due to tenderness.... this medication made my belly hurt but overall took away my pelvic tenderness so overall it&#039;s pretty good. Drink plenty of water!!!

Avoid sexual intercourse as well."""
Humira,Crohn's Disease,"""Started my humira on Thursday and was suicidal by Sunday. I only took 4 injections and this medication destroyed me mentally and physically."""
Losartan,High Blood Pressure,"""After taking Losartan 50mg.I observed I have recurring hacking cough, and its worst at night before going to bed.  I had x ray, and all is normal. The doctor gave me cough med/ suppressant, antacid, because, he said, may be acid reflux, but cough still persisted. After some research, found out, the cough and sneeze, stuffy nose, are some of the side effects of Losartan. 
I will request doctor to change it to Cozaar, and see the difference."""
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,"""First I thought it was interesting that some describe cherry and some grape.  For me, I opened the bottle and loved the grape smell.  I was sure this was going to be fine.  WTF, do the folks that invented this crap not have taste buds? Really horrible, salty vomit, leaving my taste buds crying.  I almost immediately bloated out badly.  Luckily that didn&#039;t last long, the stuff worked fast.  I still had the second prep to go, so went searching for some advice.  The best part of my day was on this site, feeling like I wasn&#039;t alone in my suffering.  I called my husband to bring home a lemon, that certainly helped, but the chilling water, the lemonade mix didn&#039;t seem to help at all.  Never again!"""
Mirena,Birth Control,"""Horrible experience!!!! Had the mirena for 10 months with longer than normal periods. I had bleeding every month for close to 2 weeks each month. Finally decided to have my gyno remove it. It&#039;s been out for a week and half and I have been bleeding for 7 days. This is not normal bleeding. Very heavy bleeding with large clots. Some almost the size of a golfball. I&#039;ve read a lot of forums from people and this has happened to ALOT of people. This is something that nobody warns you about. Please do your research before you choose this drug. It&#039;s not worth it!"""
Colcrys,"Gout, Acute","""I like to say Colcrys 0.6 is THE BEST. I got the prescription barely yesterday and just about 8 hrs later I was without pain on my ankles and my burning disappeared, I was able to sleep. After being unable to sleep for 3 consecutive days.  Thanks to this wonderful medication I was able to sleep last night and able to workout. As for side effects only soft stools but nothing extreme. DEFINITELY I RATHER DEAL WITH SOFT STOOL THAN DEALING WITH ALL THAT BURNING AND PAIN ON MY FEET!  I truly regret not taking this medicine since 6 yrs ago. I just did not know I sadly have gout. GLADLY NOW I FOUND COLCRYS."""
Topiramate,Migraine Prevention,"""Extremely effective. I had been non-functioning for a while and this drug was a dream. The complete turn around made me tolerate things I shouldn&#039;t have and turn a blind eye to some important side effects. I ended up staying on it for about 2 years before my weight was stuck between 125 lbs and 128 lbs (I am a 6ft tall woman!), my morning 5-8 mile run had completely disappeared and I would have liked nothing more than to curl up and die. This is a truly horrible drug. It does exactly what it says and SO much more. I am so happy to be off of it."""
Humira,"Crohn's Disease, Maintenance","""I have had Chron&#039;s symptoms for about 10months. I was in severe pain with the constant inflammation. I was vomiting and the nausea was unbearable. I recently started humira. After one week of starting my injections, I immediately noticed that I had no more pain. I am able to eat without feeling awful afterwards. The only side effects I&#039;ve experienced are headache and fatigue, but nothing too unmanageable."""
Oxycodone,Chronic Pain,"""I am really glad to see so many positive experiences. I just wish I could say the same. I have been on Oxycontin 40 mg for 6 years. I cannot say that I have found relief. I have peripheral neuropathy   and I take the Oxycontin 40 mg twice a day and Methadone 15 mg four times a day. I am in excruciating pain at least 8 eight hours a day and I have trouble sleeping and now I am having a problem with constipation. I don&#039;t really think it is the medications fault I think my dose is to low to handle the amount of pain I am in. My doctor will not prescribe anything stronger."""
Oxytrol,Urinary Incontinence,"""I have overactive bladder &amp; Incontinence really bad for being in my late 30&#039;s. I never thought a single patch for 24 hours could even function for my disfunctional bladder. I put it on for the first time after I showered before bed, waking up I didn&#039;t feel as full and didn&#039;t have to rush to the bathroom. During the day no leakage at all when I walk and no urge. I feel normal again. All I know whoever invented this is genius cause it is so nice to not wear pads, but please just reduce the price a bit."""
Citalopram,Depression,"""I had been on 20mg citalopram for the past 3months for PTSD and depression. Recently have been increased to 40mg. I can&#039;t sleep at night, have a dry mouth/always thirsty and noticed the other night how tight I clench my jaw when trying to sleep. Today I have a sick/knotted feeling in my tummy, eat to settle it despite not feeling any hunger but it doesn&#039;t help. Dreams have always been ok. Made a mistake of missing a few days and the nausea was horrendous will never forget to take it again. X"""
